Sample,Chamber,Microbe,Replicate,Growth.rate.mmperday,QY_max.4,QY_max.3,QY_max.2,QY_max.1,QY_max.0,OTU
AC.AT,AT,AC,1,2.00132415,0.72,0.78,0.84,0.86,0.87,2240
AC.AT,AT,AC,2,1.19211278,0.76,0.79,0.82,0.85,0.86,2312
AC.AT,AT,AC,3,2.010428571,0.79,0.79,0.81,0.84,0.86,2206
AC.AT,AT,AC,4,1.960761905,0.7,0.77,0.82,0.85,0.85,2300
AC.AT,AT,AC,5,1.157047619,0.88,0.86,0.84,0.84,0.86,2157
EC.AT,AT,EC,1,1.139012092,0.62,0.72,0.82,0.85,0.87,1947
EC.AT,AT,EC,2,0.833249281,0.74,0.79,0.82,0.83,0.85,1931
EC.AT,AT,EC,3,2.167094149,0.6,0.74,0.81,0.85,0.85,1863
EC.AT,AT,EC,4,0.003807581,0.77,0.78,0.83,0.84,0.85,1922
EC.AT,AT,EC,5,1.34539671,0.61,0.71,0.84,0.85,0.86,1961
None.AT,AT,Control,1,0.607733619,0.79,0.89,0.82,0.81,0.84,
None.AT,AT,Control,2,0.282840928,0.76,0.79,0.83,0.83,0.83,
None.AT,AT,Control,3,0.775859678,0.69,0.78,0.85,0.84,0.84,
None.AT,AT,Control,4,1.930191794,0.85,0.84,0.83,0.84,0.85,
None.AT,AT,Control,5,1.704668743,0.79,0.82,0.84,0.84,0.85,
AC.ET,ET,AC,1,1.158069993,0.61,0.71,0.82,0.81,0.82,1699
AC.ET,ET,AC,2,1.540322894,0.73,0.79,0.83,0.85,0.84,1578
AC.ET,ET,AC,3,0,0,0.61,0.84,0.83,0.84,1788
AC.ET,ET,AC,4,0.932608798,0.64,0.74,0.83,0.83,0.84,1691
AC.ET,ET,AC,5,0.806403124,0.77,0.78,0.83,0.84,0.86,1659
EC.ET,ET,EC,1,2.185714286,0.79,0.79,0.81,0.84,0.83,1989
EC.ET,ET,EC,2,1.516,0.75,0.79,0.83,0.83,0.85,1941
EC.ET,ET,EC,3,1.34052381,0.81,0.82,0.83,0.83,0.84,1899
EC.ET,ET,EC,4,2.23247619,0.71,0.81,0.81,0.86,0.85,1998
EC.ET,ET,EC,5,1.520190476,0.78,0.79,0.84,0.81,0.82,1891
None.ET,ET,Control,1,0.233142857,0.62,0.72,0.83,0.85,0.84,
None.ET,ET,Control,2,0.46247619,0.77,0.79,0.85,0.85,0.84,
None.ET,ET,Control,3,0,0,0.61,0.83,0.85,0.84,
None.ET,ET,Control,4,0.3123461,0.68,0.71,0.83,0.86,0.84,
None.ET,ET,Control,5,0,0,0.67,0.83,0.81,0.81,
