Sample,Chamber,Microbe,Replicate,Growth.rate.mmperday,QY_max.3,QY_max.2,QY_max.1,QY_max.0
AT.AC,AT,AC,1,1.576071429,0.78,0.82,0.87,0.85
AT.AC,AT,AC,2,1.4975,0.79,0.81,0.83,0.83
AT.AC,AT,AC,3,1.298214286,0.87,0.86,0.86,0.81
AT.AC,AT,AC,4,1.42,0.76,0.8,0.82,0.85
AT.AC,AT,AC,5,1.303928571,0.73,0.8,0.83,0.85
AT.AC,AT,AC,6,1.872857143,0.77,0.77,0.76,0.86
AT.AC,AT,AC,7,1.113571429,0.77,0.81,0.84,0.83
AT.AC,AT,AC,8,1.056428571,0.75,0.81,0.83,0.85
AT.AC,AT,AC,9,1.1925,0.73,0.8,0.84,0.85
AT.AC,AT,AC,10,1.350714286,0.87,0.86,0.87,0.87
AT.AC,AT,AC,11,1.211071429,0.75,0.8,0.84,0.84
AT.AC,AT,AC,12,1.99190751,0.73,0.8,0.84,0.82
AT.EC,AT,EC,1,1.500714286,0.75,0.78,0.81,0.81
AT.EC,AT,EC,2,1.14001231,0.81,0.8,0.83,0.83
AT.EC,AT,EC,3,1.178571429,0.77,0.82,0.85,0.83
AT.EC,AT,EC,4,1.330357143,0.78,0.81,0.83,0.83
AT.EC,AT,EC,5,1.470714286,0.81,0.81,0.82,0.82
AT.EC,AT,EC,6,1.601785714,0.75,0.81,0.83,0.69
AT.EC,AT,EC,7,1.543607143,0.83,0.82,0.83,0.82
AT.EC,AT,EC,8,1.051428571,0.8,0.82,0.83,0.83
AT.EC,AT,EC,9,1.38791234,0.76,0.81,0.85,0.85
AT.EC,AT,EC,10,1.207785714,0.81,0.82,0.85,0.81
AT.EC,AT,EC,11,1.113490587,0.81,0.82,0.81,0.82
AT.EC,AT,EC,12,1.209172351,0.77,0.79,0.81,0.85
AT.Control,AT,Control,1,1.317142857,0.76,0.8,0.84,0.84
AT.Control,AT,Control,2,1.21,0.75,0.78,0.83,0.86
AT.Control,AT,Control,3,1.073214286,0.82,0.79,0.77,0.85
AT.Control,AT,Control,4,1.04123412,0.78,0.8,0.82,0.86
AT.Control,AT,Control,5,1.136071429,0.75,0.78,0.8,0.84
AT.Control,AT,Control,6,1.237857143,0.79,0.81,0.83,0.86
AT.Control,AT,Control,7,0.974285714,0.74,0.77,0.83,0.86
AT.Control,AT,Control,8,0.912341,0.72,0.81,0.83,0.85
AT.Control,AT,Control,9,1.011071429,0.76,0.77,0.79,0.87
AT.Control,AT,Control,10,1.069107143,0.78,0.79,0.83,0.83
AT.Control,AT,Control,11,1.026071429,0.79,0.81,0.87,0.83
AT.Control,AT,Control,12,1.045357143,0.8,0.81,0.83,0.88
ET.AC,ET,AC,1,0,,0.66,0.81,0.85
ET.AC,ET,AC,2,0.813928571,0.73,0.79,0.85,0.85
ET.AC,ET,AC,3,1.174392857,0.73,0.78,0.84,0.85
ET.AC,ET,AC,4,0,,0.61,0.85,0.84
ET.AC,ET,AC,5,0,,0.62,0.83,0.85
ET.AC,ET,AC,6,0.953214286,0.78,0.81,0.84,0.84
ET.AC,ET,AC,7,0.901785714,0.76,0.81,0.83,0.83
ET.AC,ET,AC,8,0.713214286,0.57,0.61,0.83,0.76
ET.AC,ET,AC,9,1.011428571,0.55,0.65,0.84,0.83
ET.AC,ET,AC,10,0.713214286,0.77,0.8,0.85,0.83
ET.AC,ET,AC,11,0.836071429,0.68,0.77,0.84,0.84
ET.AC,ET,AC,12,0,0.69,0.78,0.81,0.84
ET.EC,ET,EC,1,1.55,0.75,0.77,0.81,0.85
ET.EC,ET,EC,2,1.324642857,0.78,0.81,0.83,0.84
ET.EC,ET,EC,3,1.314642857,0.77,0.78,0.78,0.81
ET.EC,ET,EC,4,1.6925,0.71,0.79,0.82,0.84
ET.EC,ET,EC,5,1.530178571,0.77,0.79,0.82,0.83
ET.EC,ET,EC,6,1.611,0.71,0.8,0.84,0.84
ET.EC,ET,EC,7,1.592857143,0.72,0.79,0.83,0.84
ET.EC,ET,EC,8,1.272142857,0.76,0.79,0.8,0.86
ET.EC,ET,EC,9,1.547142857,0.71,0.78,0.84,0.82
ET.EC,ET,EC,10,1.617142857,0.7,0.78,0.82,0.84
ET.EC,ET,EC,11,1.249285714,0.83,0.82,0.81,0.86
ET.EC,ET,EC,12,1.21987311,0.79,0.8,0.83,0.86
ET.Control,ET,Control,1,0,,0.68,0.85,0.85
ET.Control,ET,Control,2,0.312519023,0.59,0.61,0.81,0.87
ET.Control,ET,Control,3,0.283214286,0.68,0.71,0.82,0.83
ET.Control,ET,Control,4,0.111356146,0.68,0.75,0.83,0.82
ET.Control,ET,Control,5,0,,0.61,0.82,0.83
ET.Control,ET,Control,6,0,,0.64,0.83,0.84
ET.Control,ET,Control,7,0.441785714,0.69,0.63,0.8,0.85
ET.Control,ET,Control,8,0.033928571,0.65,0.77,0.85,0.85
ET.Control,ET,Control,9,0,,0.78,0.84,0.84
ET.Control,ET,Control,10,0.3156543,0.65,0.78,0.81,0.83
ET.Control,ET,Control,11,0.419285714,0.78,0.8,0.81,0.85
ET.Control,ET,Control,12,0.338214286,0.59,0.71,0.83,0.83
